,,id,target,sent_compound,sent_neg,sent_pos,text
negativos,7472,10689,0,-0.9883,1.0,0.0,wreck? wreck wreck wreck wreck wreck wreck wreck wreck wreck wreck wreck wreck?
negativos,6414,9172,1,-0.9686,0.542,0.0,"@Abu_Baraa1 Suicide bomber targets Saudi mosque at least 13 dead - Suicide bomber targets Saudi mosque at least 13 dead
This is ridiculous"
negativos,6411,9166,1,-0.9623,0.536,0.064,Suicide bomber kills 15 in Saudi security site mosque - A suicide bomber killed at least 15 people in an attack on... http://t.co/FY0r9o7Xsl
negativos,6393,9137,1,-0.9595,0.583,0.0,? 19th Day Since 17-Jul-2015 -- Nigeria: Suicide Bomb Attacks Killed 64 People; Blamed: Boko Haram [L.A. Times/AP] | http://t.co/O2cdKpSDfp
negativos,6407,9159,1,-0.9552,0.579,0.0,"17 killed in SÛªArabia mosque suicide bombing

A suicide bomber attacked a mosque in Aseer south-western Saudi... http://t.co/pMTQhiVsXX"
negativos,2932,4213,0,-0.9549,0.538,0.0,"at the lake 
*sees a dead fish*
me: poor little guy i wonder what happened
ashley: idk maybe it drowned
  wtf ????????"
negativos,472,682,1,-0.9538,0.536,0.0,illegal alien released by Obama/DHS 4 times Charged With Rape &amp; Murder of Santa Maria CA Woman Had Prior Offenses  http://t.co/MqP4hF9GpO
negativos,1540,2225,1,-0.9524,0.566,0.096,Bomb Crash Loot Riot Emergency Pipe Bomb Nuclear Chemical Spill Gas Ricin Leak Violence Drugs Cartel Cocaine Marijuana Heroine Kidnap Bust
negativos,6818,9765,1,-0.95,0.481,0.0,Bomb head? Explosive decisions dat produced more dead children than dead bodies trapped tween buildings on that day in September there
negativos,6930,9940,1,-0.9493,0.481,0.06,@cspan #Prez. Mr. President you are the biggest terrorist and trouble maker in the world. You create terrorist you sponsor terrorist.
positivos,6992,10028,0,0.973,0.0,0.598,"Check out 'Want Twister Tickets AND A VIP EXPERIENCE To See SHANIA? CLICK HERE:' at  http://t.co/3GEROQ49o1
I would Love Love Love!! To win"
positivos,6534,9345,0,0.9564,0.049,0.539,@thoutaylorbrown I feel like accidents are just drawn to you but I'm happy you've survived all of them. Hope you're okay!!!
positivos,6292,8989,1,0.9471,0.0,0.491,TodayÛªs storm will pass; let tomorrowÛªs light greet you with a kiss. Bask in this loving warmth; let your soul return to bliss.
positivos,3163,4541,0,0.9423,0.084,0.563,@batfanuk we enjoyed the show today. Great fun. The emergency non evacuation was interesting. Have a great run.
positivos,3382,4844,0,0.9423,0.084,0.563,@batfanuk we enjoyed the show today. Great fun. The emergency non evacuation was interesting. Have a great run.
positivos,6778,9710,0,0.9394,0.0,0.619,Maaaaan I love Love Without Tragedy by @rihanna I wish she made the whole song
positivos,6295,8994,0,0.9376,0.0,0.607,Free Ebay Sniping RT? http://t.co/B231Ul1O1K Lumbar Extender Back Stretcher Excellent Condition!! ?Please Favorite &amp; Share
positivos,2457,3525,1,0.9356,0.0,0.575,@Raishimi33 :) well I think that sounds like a fine plan where little derailment is possible so I applaud you :)
positivos,1001,1453,0,0.9345,0.061,0.566,I'm not a Drake fan but I enjoy seeing him body-bagging people. Great marketing lol.
positivos,6560,9386,0,0.9344,0.0,0.538,@duchovbutt @Starbuck_Scully @MadMakNY @davidduchovny yeah we survived 9 seasons and 2 movies. Let's hope for the good. There's hope ??????
